condition,model_level,objective,candidate_id,r2,baseline_r2
Pooled,d3,o_max,m024017_o_max_ord27_rk00018,0.46190738442924717,0.44412019179998563
Pooled,d3,o_max,m003009_o_max_ord6_rk00010,0.4605807529391929,0.44412019179998563
Pooled,d3,o_max,m003013_o_max_ord6_rk00014,0.46056029859704384,0.44412019179998563
Pooled,d3,o_max,m004014_o_max_ord7_rk00015,0.4600010660233138,0.44412019179998563
Pooled,d3,o_max,m022015_o_max_ord25_rk00016,0.45934137061822766,0.44412019179998563
Pooled,d3,o_max,m002011_o_max_ord5_rk00012,0.45855821097279303,0.44412019179998563
Pooled,d3,o_max,m003018_o_max_ord6_rk00019,0.45854830584348616,0.44412019179998563
Pooled,d3,o_max,m002000_o_max_ord5_rk00001,0.45827034747003315,0.44412019179998563
Pooled,d3,o_max,m003011_o_max_ord6_rk00012,0.45824140963153703,0.44412019179998563
Pooled,d3,o_max,m002001_o_max_ord5_rk00002,0.4581174671192708,0.44412019179998563
Pooled,d3,o_max,m027000_o_max_ord30_rk00001,0.45802411510018926,0.44412019179998563
Pooled,d3,o_max,m000008_o_max_ord3_rk00009,0.4578654937783011,0.44412019179998563
Pooled,d3,o_max,m002013_o_max_ord5_rk00014,0.45768562381649636,0.44412019179998563
Pooled,d3,o_max,m002005_o_max_ord5_rk00006,0.45707588072923366,0.44412019179998563
Pooled,d3,o_max,m002002_o_max_ord5_rk00003,0.45669508218617616,0.44412019179998563
Pooled,d3,o_max,m003001_o_max_ord6_rk00002,0.4566786516416549,0.44412019179998563
Pooled,d3,o_min,m070525_o_min_ord26_rk00011,0.47906894550828594,0.44412019179998563
Pooled,d3,o_min,m070530_o_min_ord26_rk00016,0.47599080275426653,0.44412019179998563
Pooled,d3,o_min,m070529_o_min_ord26_rk00015,0.47399802218251863,0.44412019179998563
Pooled,d3,o_min,m070519_o_min_ord26_rk00005,0.46820371902562774,0.44412019179998563
Pooled,d3,o_min,m049528_o_min_ord5_rk00014,0.46762988264523697,0.44412019179998563
Pooled,d3,o_min,m051533_o_min_ord7_rk00019,0.46653715688393727,0.44412019179998563
Pooled,d3,o_min,m070523_o_min_ord26_rk00009,0.4660085917643919,0.44412019179998563
Pooled,d3,o_min,m070527_o_min_ord26_rk00013,0.4654703677754852,0.44412019179998563
Pooled,d3,o_min,m070517_o_min_ord26_rk00003,0.46527111983378533,0.44412019179998563
Pooled,d3,o_min,m069525_o_min_ord25_rk00011,0.4650145908120664,0.44412019179998563
Pooled,d3,o_min,m047521_o_min_ord3_rk00007,0.4643457454344351,0.44412019179998563
Pooled,d3,o_min,m070521_o_min_ord26_rk00007,0.4634519489302974,0.44412019179998563
Pooled,d3,o_min,m070515_o_min_ord26_rk00001,0.46325708591438675,0.44412019179998563
Pooled,d3,o_min,m070534_o_min_ord26_rk00020,0.4629946305274978,0.44412019179998563
