model_level,objective,candidate_id,order,baseline_r2,best_single_r2
d2,o_max,m017000_o_max_ord20_rk00001,20.0,0.2369244826572131,
d2,o_max,m027005_o_max_ord30_rk00006,30.0,0.2369244826572131,
d2,o_max,m027002_o_max_ord30_rk00003,30.0,0.2369244826572131,
d2,o_max,m026002_o_max_ord29_rk00003,29.0,0.2369244826572131,
d2,o_max,m018003_o_max_ord21_rk00004,21.0,0.2369244826572131,
d2,o_max,m026019_o_max_ord29_rk00020,29.0,0.2369244826572131,
d2,o_max,m025015_o_max_ord28_rk00016,28.0,0.2369244826572131,
d2,o_max,m025008_o_max_ord28_rk00009,28.0,0.2369244826572131,
d2,o_max,m020015_o_max_ord23_rk00016,23.0,0.2369244826572131,
d2,o_max,m020000_o_max_ord23_rk00001,23.0,0.2369244826572131,
d2,o_max,m025004_o_max_ord28_rk00005,28.0,0.2369244826572131,
d3,o_min,m048530_o_min_ord4_rk00016,4.0,0.24317347266855183,
d3,o_min,m049520_o_min_ord5_rk00006,5.0,0.24317347266855183,
d3,o_min,m049529_o_min_ord5_rk00015,5.0,0.24317347266855183,
d3,o_min,m066519_o_min_ord22_rk00005,22.0,0.24317347266855183,
d3,o_min,m049524_o_min_ord5_rk00010,5.0,0.24317347266855183,
d3,o_min,m066523_o_min_ord22_rk00009,22.0,0.24317347266855183,
d3,o_min,m062529_o_min_ord18_rk00015,18.0,0.24317347266855183,
d3,o_min,m062532_o_min_ord18_rk00018,18.0,0.24317347266855183,
d3,o_min,m072528_o_min_ord28_rk00014,28.0,0.24317347266855183,
d3,o_min,m048529_o_min_ord4_rk00015,4.0,0.24317347266855183,
d3,o_min,m048517_o_min_ord4_rk00003,4.0,0.24317347266855183,
d3,o_min,m048520_o_min_ord4_rk00006,4.0,0.24317347266855183,
d3,o_min,m063532_o_min_ord19_rk00018,19.0,0.24317347266855183,
d3,o_min,m066520_o_min_ord22_rk00006,22.0,0.24317347266855183,
d3,o_min,m048521_o_min_ord4_rk00007,4.0,0.24317347266855183,
d3,o_min,m047517_o_min_ord3_rk00003,3.0,0.24317347266855183,
d3,o_min,m060531_o_min_ord16_rk00017,16.0,0.24317347266855183,
d3,o_min,m063525_o_min_ord19_rk00011,19.0,0.24317347266855183,
d3,o_min,m052530_o_min_ord8_rk00016,8.0,0.24317347266855183,
d3,o_min,m048518_o_min_ord4_rk00004,4.0,0.24317347266855183,
d3,o_min,m047533_o_min_ord3_rk00019,3.0,0.24317347266855183,
d3,o_min,m063534_o_min_ord19_rk00020,19.0,0.24317347266855183,
d3,o_min,m051527_o_min_ord7_rk00013,7.0,0.24317347266855183,
d3,o_min,m048525_o_min_ord4_rk00011,4.0,0.24317347266855183,
d3,o_min,m064523_o_min_ord20_rk00009,20.0,0.24317347266855183,
d3,o_min,m064521_o_min_ord20_rk00007,20.0,0.24317347266855183,
d3,o_min,m052529_o_min_ord8_rk00015,8.0,0.24317347266855183,
d3,o_min,m064532_o_min_ord20_rk00018,20.0,0.24317347266855183,
d3,o_min,m065531_o_min_ord21_rk00017,21.0,0.24317347266855183,
d3,o_min,m066528_o_min_ord22_rk00014,22.0,0.24317347266855183,
d3,o_min,m066533_o_min_ord22_rk00019,22.0,0.24317347266855183,
d3,o_min,m061525_o_min_ord17_rk00011,17.0,0.24317347266855183,
d3,o_min,m048523_o_min_ord4_rk00009,4.0,0.24317347266855183,
d3,o_min,m055527_o_min_ord11_rk00013,11.0,0.24317347266855183,
d3,o_min,m056527_o_min_ord12_rk00013,12.0,0.24317347266855183,
d3,o_min,m064518_o_min_ord20_rk00004,20.0,0.24317347266855183,
d3,o_min,m052532_o_min_ord8_rk00018,8.0,0.24317347266855183,
d3,o_min,m047532_o_min_ord3_rk00018,3.0,0.24317347266855183,
d3,o_min,m047520_o_min_ord3_rk00006,3.0,0.24317347266855183,
d3,o_min,m064526_o_min_ord20_rk00012,20.0,0.24317347266855183,
d3,o_min,m048516_o_min_ord4_rk00002,4.0,0.24317347266855183,
d3,o_min,m074529_o_min_ord30_rk00015,30.0,0.24317347266855183,
d3,o_min,m068532_o_min_ord24_rk00018,24.0,0.24317347266855183,
d3,o_min,m051524_o_min_ord7_rk00010,7.0,0.24317347266855183,
d3,o_min,m052533_o_min_ord8_rk00019,8.0,0.24317347266855183,
d3,o_min,m072515_o_min_ord28_rk00001,28.0,0.24317347266855183,
d3,o_min,m061520_o_min_ord17_rk00006,17.0,0.24317347266855183,
d3,o_min,m063517_o_min_ord19_rk00003,19.0,0.24317347266855183,
d3,o_min,m051528_o_min_ord7_rk00014,7.0,0.24317347266855183,
d3,o_min,m047531_o_min_ord3_rk00017,3.0,0.24317347266855183,
d3,o_max,m026012_o_max_ord29_rk00013,29.0,0.24317347266855183,
d3,o_max,m025008_o_max_ord28_rk00009,28.0,0.24317347266855183,
d3,o_max,m026005_o_max_ord29_rk00006,29.0,0.24317347266855183,
