model_level,objective,candidate_id,full_r2,baseline_r2,best_single_r2
OLS,o_min,m050515_o_min_ord6_rk00001,0.35888121033384013,0.4356486069738752,0.4466711121222795
OLS,o_min,m053533_o_min_ord9_rk00019,0.35613897939810746,0.4356486069738752,0.4466711121222795
OLS,o_min,m052520_o_min_ord8_rk00006,0.3559118183317569,0.4356486069738752,0.4466711121222795
OLS,o_min,m050521_o_min_ord6_rk00007,0.3491233375513818,0.4356486069738752,0.4466711121222795
OLS,o_max,m000015_o_max_ord3_rk00016,0.431220000494668,0.4356486069738752,0.4466711121222795
OLS,o_max,m000002_o_max_ord3_rk00003,0.426784513282653,0.4356486069738752,0.4466711121222795
OLS,o_max,m000006_o_max_ord3_rk00007,0.4263328863226924,0.4356486069738752,0.4466711121222795
OLS,o_max,m000003_o_max_ord3_rk00004,0.4249093545124668,0.4356486069738752,0.4466711121222795
OLS,o_max,m000014_o_max_ord3_rk00015,0.4244838675238811,0.4356486069738752,0.4466711121222795
OLS,o_max,m002016_o_max_ord5_rk00017,0.4232675947632867,0.4356486069738752,0.4466711121222795
OLS,o_max,m000011_o_max_ord3_rk00012,0.4232546941719053,0.4356486069738752,0.4466711121222795
OLS,o_max,m001014_o_max_ord4_rk00015,0.4222710436319469,0.4356486069738752,0.4466711121222795
OLS,o_max,m000000_o_max_ord3_rk00001,0.4214235609181253,0.4356486069738752,0.4466711121222795
OLS,o_max,m001016_o_max_ord4_rk00017,0.42102367197563884,0.4356486069738752,0.4466711121222795
OLS,o_max,m001003_o_max_ord4_rk00004,0.42075041501548305,0.4356486069738752,0.4466711121222795
OLS,o_max,m000018_o_max_ord3_rk00019,0.4203856182638571,0.4356486069738752,0.4466711121222795
OLS,o_max,m000004_o_max_ord3_rk00005,0.4195995628600456,0.4356486069738752,0.4466711121222795
OLS,o_max,m000019_o_max_ord3_rk00020,0.41939867826233956,0.4356486069738752,0.4466711121222795
OLS,o_max,m000017_o_max_ord3_rk00018,0.41913532444040313,0.4356486069738752,0.4466711121222795
OLS,o_max,m000012_o_max_ord3_rk00013,0.4183791868301434,0.4356486069738752,0.4466711121222795
OLS,o_max,m000008_o_max_ord3_rk00009,0.41768956530859125,0.4356486069738752,0.4466711121222795
OLS,o_max,m000010_o_max_ord3_rk00011,0.4174036466274874,0.4356486069738752,0.4466711121222795
OLS,o_max,m001000_o_max_ord4_rk00001,0.4171703375261695,0.4356486069738752,0.4466711121222795
OLS,o_max,m000007_o_max_ord3_rk00008,0.4154525484413155,0.4356486069738752,0.4466711121222795
OLS,o_max,m001006_o_max_ord4_rk00007,0.4149173769843266,0.4356486069738752,0.4466711121222795
OLS,o_max,m000009_o_max_ord3_rk00010,0.4138635673464792,0.4356486069738752,0.4466711121222795
OLS,o_max,m001018_o_max_ord4_rk00019,0.41347623269520417,0.4356486069738752,0.4466711121222795
OLS,o_max,m001008_o_max_ord4_rk00009,0.4134580237366826,0.4356486069738752,0.4466711121222795
OLS,o_max,m000013_o_max_ord3_rk00014,0.4132112140156061,0.4356486069738752,0.4466711121222795
OLS,o_max,m000016_o_max_ord3_rk00017,0.4121067320506222,0.4356486069738752,0.4466711121222795
OLS,o_max,m001013_o_max_ord4_rk00014,0.4115323070767184,0.4356486069738752,0.4466711121222795
OLS,o_max,m002005_o_max_ord5_rk00006,0.4062251893188117,0.4356486069738752,0.4466711121222795
OLS,o_max,m002004_o_max_ord5_rk00005,0.40604375883217747,0.4356486069738752,0.4466711121222795
OLS,o_max,m001004_o_max_ord4_rk00005,0.4059162529640754,0.4356486069738752,0.4466711121222795
OLS,o_max,m002010_o_max_ord5_rk00011,0.4052963486921213,0.4356486069738752,0.4466711121222795
OLS,o_max,m001001_o_max_ord4_rk00002,0.4052300226469626,0.4356486069738752,0.4466711121222795
OLS,o_max,m001011_o_max_ord4_rk00012,0.403655851989299,0.4356486069738752,0.4466711121222795
OLS,o_max,m001010_o_max_ord4_rk00011,0.40317464591671126,0.4356486069738752,0.4466711121222795
OLS,o_max,m002002_o_max_ord5_rk00003,0.40314972148421735,0.4356486069738752,0.4466711121222795
OLS,o_max,m002015_o_max_ord5_rk00016,0.4025076342269138,0.4356486069738752,0.4466711121222795
OLS,o_max,m002006_o_max_ord5_rk00007,0.4025050968627102,0.4356486069738752,0.4466711121222795
OLS,o_max,m002000_o_max_ord5_rk00001,0.4020654591410475,0.4356486069738752,0.4466711121222795
OLS,o_max,m001005_o_max_ord4_rk00006,0.4020178075611508,0.4356486069738752,0.4466711121222795
OLS,o_max,m003001_o_max_ord6_rk00002,0.4019931620404773,0.4356486069738752,0.4466711121222795
OLS,o_max,m001015_o_max_ord4_rk00016,0.4019870611290155,0.4356486069738752,0.4466711121222795
OLS,o_max,m001002_o_max_ord4_rk00003,0.40035743384961464,0.4356486069738752,0.4466711121222795
OLS,o_max,m000001_o_max_ord3_rk00002,0.39967148937220076,0.4356486069738752,0.4466711121222795
OLS,o_max,m002008_o_max_ord5_rk00009,0.39893978472130287,0.4356486069738752,0.4466711121222795
OLS,o_max,m000005_o_max_ord3_rk00006,0.39820999562770076,0.4356486069738752,0.4466711121222795
OLS,o_max,m003013_o_max_ord6_rk00014,0.39801357742418153,0.4356486069738752,0.4466711121222795
OLS,o_max,m001017_o_max_ord4_rk00018,0.3974479869197559,0.4356486069738752,0.4466711121222795
OLS,o_max,m001009_o_max_ord4_rk00010,0.39606283578505774,0.4356486069738752,0.4466711121222795
OLS,o_max,m002012_o_max_ord5_rk00013,0.39559943232446904,0.4356486069738752,0.4466711121222795
OLS,o_max,m002001_o_max_ord5_rk00002,0.39549191681618046,0.4356486069738752,0.4466711121222795
d1,o_min,m049526_o_min_ord5_rk00012,0.4414669738504089,0.4296994627244175,0.4429582062713171
d1,o_min,m051516_o_min_ord7_rk00002,0.43811524361035603,0.4296994627244175,0.4429582062713171
d1,o_min,m050525_o_min_ord6_rk00011,0.43803117453162865,0.4296994627244175,0.4429582062713171
d1,o_min,m050526_o_min_ord6_rk00012,0.43482581193023917,0.4296994627244175,0.4429582062713171
d1,o_min,m050520_o_min_ord6_rk00006,0.4346690806229796,0.4296994627244175,0.4429582062713171
d1,o_min,m052525_o_min_ord8_rk00011,0.43349647164604466,0.4296994627244175,0.4429582062713171
d1,o_min,m050522_o_min_ord6_rk00008,0.432789170220915,0.4296994627244175,0.4429582062713171
d1,o_min,m061519_o_min_ord17_rk00005,0.43267062862863137,0.4296994627244175,0.4429582062713171
d1,o_min,m057531_o_min_ord13_rk00017,0.4326404283104939,0.4296994627244175,0.4429582062713171
d1,o_min,m050519_o_min_ord6_rk00005,0.4326260250977525,0.4296994627244175,0.4429582062713171
d1,o_min,m051519_o_min_ord7_rk00005,0.43258575511822306,0.4296994627244175,0.4429582062713171
d1,o_min,m057525_o_min_ord13_rk00011,0.4325021651118035,0.4296994627244175,0.4429582062713171
d1,o_min,m056529_o_min_ord12_rk00015,0.4323934780374914,0.4296994627244175,0.4429582062713171
d1,o_min,m051533_o_min_ord7_rk00019,0.43178852281377456,0.4296994627244175,0.4429582062713171
d1,o_min,m061526_o_min_ord17_rk00012,0.43128020552275703,0.4296994627244175,0.4429582062713171
d1,o_min,m050533_o_min_ord6_rk00019,0.43107192976420683,0.4296994627244175,0.4429582062713171
d1,o_min,m061522_o_min_ord17_rk00008,0.4310565267169387,0.4296994627244175,0.4429582062713171
d1,o_min,m048526_o_min_ord4_rk00012,0.4310040797646717,0.4296994627244175,0.4429582062713171
d1,o_min,m060518_o_min_ord16_rk00004,0.4307995364883377,0.4296994627244175,0.4429582062713171
